State,County,Male
Maryland,Howard County,49
Maryland,Kent County,47.7
Maryland,St. Mary's County,49.8
Maryland,Somerset County,53.4
Massachusetts,Barnstable County,47.6
Massachusetts,Franklin County,48.8
Michigan,Antrim County,49.5
Michigan,Branch County,52.7
Michigan,Clare County,49.9
Michigan,Crawford County,50.2
Michigan,Eaton County,48.8
Michigan,Gladwin County,50
Missouri,Iron County,49.4
Missouri,Jasper County,48.8
Missouri,Knox County,49.2
Missouri,Linn County,48.1
Missouri,Madison County,49.1
Missouri,Marion County,48.1
Missouri,Moniteau County,52.7
Missouri,Morgan County,49.8
Missouri,Perry County,49.9
Missouri,Pulaski County,55.9
Missouri,St. Clair County,50.5
Missouri,Saline County,49.5
Missouri,Sullivan County,51.1
Missouri,Washington County,51.3
Missouri,Webster County,50.5
Montana,Cascade County,49.9
Montana,Golden Valley County,52.4
Montana,Lake County,49.5
Montana,Madison County,52
Montana,Pondera County,48.3
Montana,Silver Bow County,50.5
Montana,Treasure County,51.4
Montana,Wheatland County,49.3
Nebraska,Adams County,49.7
Nebraska,Blaine County,51.7
Nebraska,Butler County,50.2
Nebraska,Clay County,50.1
Nebraska,Colfax County,51.6
Nebraska,Dawson County,50.5
Nebraska,Fillmore County,49.1
Nebraska,Frontier County,50.8
Nebraska,Grant County,54.7
Nebraska,Hall County,50
Nebraska,Johnson County,57.8
Nebraska,Kearney County,49.1
Nebraska,Logan County,49.9
Nebraska,McPherson County,51.4
Nebraska,Nance County,50.1
Nebraska,Pawnee County,49.7
Nebraska,Pierce County,50.5
Nebraska,Polk County,49.9
Nebraska,Saline County,50.3
Nebraska,Sherman County,49.1
Nebraska,Stanton County,49.5
Nebraska,Valley County,49.5
Nebraska,Wheeler County,50.4
Nevada,Eureka County,52.7
Nevada,Pershing County,63.2
Nevada,White Pine County,56.6
New Jersey,Camden County,48.2
New Jersey,Gloucester County,48.6
New Jersey,Passaic County,48.5
New Mexico,Bernalillo County,49
Mississippi,Lauderdale County,48.2
Mississippi,Leake County,51.9
Mississippi,Leflore County,48
Mississippi,Marion County,48.3
Mississippi,Neshoba County,48
Mississippi,Perry County,48.8
Mississippi,Quitman County,47.8
Mississippi,Stone County,50.1
Mississippi,Tate County,48.3
Mississippi,Webster County,48.6
Mississippi,Winston County,48.1
Missouri,Audrain County,46.2
Missouri,Bollinger County,50
Missouri,Camden County,49.7
Missouri,Carter County,48.8
Missouri,Christian County,48.6
Missouri,Crawford County,49.8
Missouri,Dent County,49.6
Missouri,Howard County,49.7
North Carolina,Alamance County,47.6
North Carolina,Alleghany County,49.6
North Carolina,Bladen County,48
North Carolina,Buncombe County,48.2
North Carolina,Caldwell County,49.2
North Carolina,Clay County,49.3
North Carolina,Dare County,50
North Carolina,Davidson County,49
North Carolina,Forsyth County,47.5
North Carolina,Guilford County,47.6
North Carolina,Hertford County,48.9
North Carolina,Jones County,48.1
North Carolina,Martin County,46.7
North Carolina,Nash County,48.3
North Carolina,Pender County,50
North Carolina,Randolph County,49.3
North Carolina,Scotland County,48.3
North Carolina,Vance County,46.9
North Carolina,Wake County,48.7
North Dakota,Barnes County,49.6
North Dakota,Billings County,53.3
North Dakota,Cavalier County,51.2
North Dakota,Foster County,50.1
North Dakota,Grand Forks County,51.4
North Dakota,LaMoure County,51.2
North Dakota,Mountrail County,54.5
North Dakota,Ransom County,50.8
North Dakota,Rolette County,49.5
North Dakota,Steele County,51.1
North Dakota,Towner County,50.9
Ohio,Allen County,50.4
Ohio,Brown County,49.6
Ohio,Clinton County,49
Ohio,Defiance County,49.2
Ohio,Fayette County,49.2
Ohio,Geauga County,49.2
Ohio,Guernsey County,49
Ohio,Hancock County,48.5
Ohio,Knox County,48.8
Ohio,Logan County,49.3
Ohio,Madison County,54.6
Ohio,Miami County,49.2
Ohio,Muskingum County,48.4
Ohio,Pike County,49.6
Ohio,Putnam County,50
Ohio,Seneca County,49.9
Ohio,Tuscarawas County,49.1
Ohio,Wayne County,49.4
Ohio,Wood County,48.9
Oklahoma,Beckham County,53.5
Oklahoma,Carter County,48.8
Oklahoma,Coal County,49.4
Oklahoma,Custer County,49.6
Oklahoma,Garfield County,49.3
Oklahoma,Greer County,56.7
New Mexico,Eddy County,49.9
New Mexico,Guadalupe County,56.5
New Mexico,Lincoln County,49.1
New Mexico,Socorro County,51.3
New York,Allegany County,50.5
New York,Chenango County,49.8
New York,Genesee County,49.5
New York,Herkimer County,48.9
New York,Lewis County,50.3
New York,Oneida County,49.8
New York,Otsego County,48.4
New York,Saratoga County,49.2
New York,Steuben County,49.6
New York,Warren County,48.8
New York,Yates County,48.4
Pennsylvania,Blair County,48.6
Pennsylvania,Bradford County,49.2
Pennsylvania,Cambria County,49.4
Pennsylvania,Clarion County,48.4
Pennsylvania,Elk County,49.7
Pennsylvania,Indiana County,49.7
Pennsylvania,Lackawanna County,48.1
Pennsylvania,Mifflin County,48.9
Pennsylvania,Montour County,48.1
Pennsylvania,Potter County,50
Pennsylvania,Sullivan County,51.4
Pennsylvania,Warren County,49.8
South Carolina,Allendale County,53.2
South Carolina,Bamberg County,47.6
South Carolina,Clarendon County,49.4
South Carolina,Fairfield County,47.9
South Carolina,Greenwood County,46.9
South Carolina,Horry County,48.9
South Carolina,Laurens County,48.5
South Carolina,Newberry County,48.7
South Carolina,Spartanburg County,48.5
South Dakota,Beadle County,50.3
South Dakota,Brule County,48.6
South Dakota,Codington County,49.8
South Dakota,Davison County,49.5
South Dakota,Dewey County,49.1
South Dakota,Faulk County,49.5
South Dakota,Hand County,49.6
South Dakota,Jackson County,50.4
South Dakota,Kingsbury County,50.7
South Dakota,McCook County,50
South Dakota,Miner County,50.5
South Dakota,Potter County,49.5
South Dakota,Spink County,50.3
South Dakota,Turner County,50.2
South Dakota,Walworth County,48.8
Tennessee,Benton County,49
Tennessee,Blount County,48.4
Tennessee,Cannon County,49.5
Tennessee,Clay County,49.6
Tennessee,Decatur County,49.3
Tennessee,Franklin County,48.8
Tennessee,Hamblen County,48.7
Tennessee,Hawkins County,49
Tennessee,Humphreys County,49.2
Tennessee,Knox County,48.6
Tennessee,Loudon County,49.1
Tennessee,Marshall County,48.9
Tennessee,Morgan County,55.1
Tennessee,Polk County,49.8
Tennessee,Scott County,49.1
Tennessee,Sumner County,48.8
Tennessee,Union County,49.8
Oklahoma,Harper County,49.6
Oklahoma,Hughes County,53.8
Oklahoma,Kingfisher County,49.4
Oklahoma,Lincoln County,49.5
Oklahoma,McClain County,49.6
Oklahoma,Mayes County,49.9
Oklahoma,Oklahoma County,48.9
Oklahoma,Pontotoc County,48.5
Oklahoma,Pushmataha County,49.4
Oklahoma,Washington County,48.4
Oklahoma,Woodward County,52.4
Oregon,Deschutes County,49.4
Oregon,Jefferson County,51.8
Oregon,Lake County,52.7
Oregon,Polk County,48.7
Oregon,Wheeler County,49.8
Pennsylvania,Armstrong County,49.3
Texas,Gonzales County,50.3
Texas,Gray County,51.9
Texas,Grimes County,54.5
Texas,Hall County,49.4
Texas,Hansford County,49.9
Texas,Hill County,49
Texas,Howard County,56.3
Texas,Hutchinson County,50
Texas,Jim Hogg County,49.4
Texas,Johnson County,50
Texas,Kent County,48.5
Texas,Kerr County,48.5
Texas,Knox County,49.3
Texas,La Salle County,59.4
Texas,Live Oak County,53.7
Texas,Lubbock County,49.4
Texas,McLennan County,48.6
Texas,Mason County,49.3
Texas,Midland County,49.1
Texas,Montgomery County,49.6
Texas,Navarro County,49.6
Texas,Nolan County,49.7
Texas,Ochiltree County,51.2
Texas,Oldham County,50.4
Texas,Parker County,50.7
Texas,Rains County,50.3
Texas,Randall County,48.7
Texas,Roberts County,50.5
Texas,Rockwall County,49.2
Texas,Runnels County,49.5
Texas,San Saba County,54.9
Texas,Somervell County,49.3
Texas,Stephens County,51.7
Texas,Stonewall County,48.1
