State,County,Male
Montana,Judith Basin County,51.9
Montana,Lewis and Clark County,49.4
Montana,Musselshell County,49.8
Montana,Richland County,51.5
Montana,Sweet Grass County,50.6
Nebraska,Arthur County,49.6
Nebraska,Brown County,48.7
Nebraska,Cedar County,50.8
Nebraska,Dawes County,49.7
Nebraska,Dodge County,49
Nebraska,Garden County,50.7
Mississippi,Lamar County,48.4
Nebraska,Holt County,49.7
Nebraska,Knox County,49
Nebraska,Madison County,49.6
Nebraska,Merrick County,49.5
Nebraska,Nemaha County,48.9
Nebraska,Phelps County,49.5
Nebraska,Rock County,50
Nebraska,Seward County,50.9
Nebraska,Thomas County,50.7
Nebraska,Wayne County,50.2
Nevada,Douglas County,50
Nevada,Mineral County,49.2
New Hampshire,Cheshire County,48.8
New Hampshire,Strafford County,48.7
Michigan,Clinton County,49.2
New Jersey,Sussex County,49.6
New Mexico,Cibola County,50.6
Mississippi,Lawrence County,49.1
Mississippi,Lee County,47.9
Mississippi,Lincoln County,47.8
Mississippi,Montgomery County,47.5
Mississippi,Oktibbeha County,49.8
Mississippi,Pontotoc County,49.3
Mississippi,Sharkey County,45.8
Mississippi,Union County,48.9
Mississippi,Washington County,46.5
Missouri,Adair County,47.7
Missouri,Benton County,50.1
Missouri,Butler County,48.2
Missouri,Cedar County,49.2
Missouri,Clinton County,50.2
Missouri,Dallas County,49.7
Montana,Dawson County,50.5
Missouri,Henry County,48.9
North Carolina,Alexander County,50.6
North Carolina,Anson County,52
North Carolina,Ashe County,49.4
North Carolina,Caswell County,50.9
North Carolina,Cleveland County,48.2
North Carolina,Durham County,47.7
North Carolina,Gates County,48.9
North Carolina,Harnett County,49
North Carolina,Iredell County,49.2
North Carolina,Lincoln County,49.6
North Carolina,Montgomery County,48.4
North Carolina,Onslow County,53.6
North Carolina,Person County,48.5
Nebraska,Hayes County,52.7
North Carolina,Swain County,48.7
North Carolina,Union County,49.4
North Carolina,Warren County,50.5
North Carolina,Wilson County,47.7
North Dakota,Burke County,52.6
North Dakota,Dunn County,52.7
North Dakota,Hettinger County,47.6
North Dakota,McLean County,50.8
North Dakota,Pierce County,50
North Dakota,Slope County,54.5
North Dakota,Wells County,49.1
Ohio,Athens County,50.1
Ohio,Champaign County,49.5
New Jersey,Mercer County,48.8
Ohio,Delaware County,49.3
Ohio,Gallia County,49.3
Ohio,Greene County,49
Ohio,Hardin County,49.6
Ohio,Holmes County,49.9
Ohio,Licking County,49
Ohio,Marion County,52.4
Ohio,Morgan County,49.8
Ohio,Paulding County,49.5
Ohio,Ross County,52.7
Ohio,Shelby County,49.9
Ohio,Van Wert County,48.7
Oklahoma,Alfalfa County,58.9
Oklahoma,Caddo County,51.7
Missouri,Franklin County,49.6
Oklahoma,Creek County,49.5
Oklahoma,Garvin County,48.9
New Mexico,De Baca County,49.1
New Mexico,Doí±a Ana Count,49
New Mexico,Mora County,51.2
New Mexico,San Miguel County,49.9
New Mexico,Valencia County,50.4
New York,Cattaraugus County,49.5
New York,Columbia County,50.3
New York,Essex County,51.8
New York,Montgomery County,48.7
New York,Ontario County,48.9
North Carolina,Rockingham County,48.2
New York,Schoharie County,50
New York,Tompkins County,49.3
New York,Wyoming County,54.4
Pennsylvania,Berks County,49.1
Pennsylvania,Butler County,49.2
Pennsylvania,Carbon County,49.3
Pennsylvania,Columbia County,48
Pennsylvania,Forest County,66.9
Pennsylvania,Fulton County,50.3
Pennsylvania,Lebanon County,48.8
Pennsylvania,Lycoming County,49
Pennsylvania,Perry County,50.2
Pennsylvania,Tioga County,49
Pennsylvania,Wyoming County,50
Ohio,Coshocton County,49.4
South Carolina,Cherokee County,48.5
South Carolina,Dillon County,47
South Carolina,Greenville County,48.5
South Carolina,Hampton County,51.2
South Carolina,McCormick County,54.3
South Carolina,Pickens County,50
South Dakota,Aurora County,51
South Dakota,Brown County,48.7
South Dakota,Charles Mix County,49.5
South Dakota,Edmunds County,50.8
South Dakota,Hamlin County,50
South Dakota,Hughes County,48.6
South Dakota,Lake County,50.8
South Dakota,Marshall County,54.1
South Dakota,Sully County,54
Tennessee,Anderson County,48.3
Tennessee,Bedford County,49.6
Tennessee,Bledsoe County,54.1
Tennessee,Bradley County,48.7
Tennessee,Chester County,48.3
Tennessee,Crockett County,48
Tennessee,Fayette County,49.6
Tennessee,Grainger County,49.8
Tennessee,Hancock County,49.4
Tennessee,Hickman County,52.5
Tennessee,Lawrence County,48.8
Tennessee,Madison County,47.5
Tennessee,Moore County,49.2
Tennessee,Overton County,49.4
Tennessee,Roane County,49.1
New York,Rensselaer County,49.4
Tennessee,Trousdale County,49.7
Tennessee,Washington County,48.9
Oklahoma,Harmon County,48
Oklahoma,Haskell County,49.7
Oklahoma,Johnston County,49.3
Oklahoma,Kiowa County,49.5
Oklahoma,Major County,49.1
Oklahoma,Noble County,49.4
Oklahoma,Ottawa County,48.8
Oklahoma,Seminole County,48.8
Oklahoma,Tillman County,49.9
Oregon,Columbia County,50.1
Oregon,Grant County,49.7
Rhode Island,Providence County,48.3
Oregon,Union County,49.2
Pennsylvania,Bedford County,49.6
Texas,Glasscock County,52.9
Texas,Goliad County,49.9
Texas,Gregg County,48.9
Texas,Guadalupe County,49.2
Texas,Hartley County,61
Texas,Hays County,49.8
Texas,Hockley County,49.3
Texas,Hunt County,49.6
Texas,Jasper County,49.1
Texas,Karnes County,59.6
Texas,King County,49.3
Texas,Lamb County,49.8
Texas,Leon County,49.9
South Dakota,Pennington County,49.8
Tennessee,Smith County,49.2
Texas,Madison County,57.6
Texas,Medina County,51.4
Texas,Mitchell County,61.1
Texas,Morris County,48.2
Texas,Nueces County,49.1
Texas,Palo Pinto County,49.1
Texas,Polk County,53.5
Texas,Reeves County,60.1
Texas,San Augustine County,49.2
Texas,Schleicher County,49.9
Texas,Sherman County,51
Texas,Tarrant County,49
Texas,Trinity County,48.7
Texas,Walker County,59
Texas,Wharton County,49.2
Oklahoma,Cleveland County,50
Oregon,Marion County,49.8
Texas,Young County,49.3
Utah,Cache County,49.7
Utah,Garfield County,51.7
Tennessee,Weakley County,49
Tennessee,Williamson County,48.8
Texas,Andrews County,49.8
Texas,Bandera County,49.7
Texas,Bell County,49.5
Texas,Brazos County,50.6
Texas,Callahan County,48.8
Texas,Childress County,58.5
Texas,Coleman County,49.6
Texas,Llano County,48.3
Texas,Crosby County,48.1
Texas,Delta County,49
Texas,Duval County,51.6
Texas,Erath County,49.1
Texas,Floyd County,49.3
Texas,Frio County,58.3
Texas,Gillespie County,48.2
Virginia,New Kent County,50.9
Virginia,Northumberland County,48.7
Virginia,Rappahannock County,50
Virginia,Smyth County,48.8
Virginia,Stafford County,50.3
Virginia,Danville city,45.6
Virginia,Franklin city,44.5
Virginia,Lynchburg city,46.9
Texas,Wilson County,49.8
Virginia,Portsmouth city,48.1
Virginia,Williamsburg city,47.1
Washington,Chelan County,49.9
Washington,Kitsap County,50.6
Washington,Skamania County,50.3
Washington,Whitman County,50.9
West Virginia,Clay County,49.7
West Virginia,Hancock County,48.4
West Virginia,Lewis County,49.3
Texas,Colorado County,49.6
West Virginia,Pleasants County,53.6
West Virginia,Ritchie County,50
West Virginia,Tucker County,50.1
West Virginia,Wirt County,50.2
Wisconsin,Burnett County,50.5
Wisconsin,Dane County,49.5
Wisconsin,Dodge County,52.6
Wisconsin,Eau Claire County,49
Wisconsin,Florence County,51.1
Wisconsin,La Crosse County,48.8
Wisconsin,Lincoln County,50.1
Wisconsin,Menominee County,49.6
Wisconsin,Outagamie County,49.9
Wisconsin,Price County,50.7
Wisconsin,Shawano County,49.9
Virginia,Norton city,46.1
Wisconsin,Waupaca County,50.5
Wyoming,Campbell County,52.6
Wyoming,Goshen County,52.1
Wyoming,Uinta County,50.5
Puerto Rico,Aguadilla Municipio,48.6
Utah,Millard County,50.9
Utah,Rich County,51.7
Utah,Sevier County,50.4
Utah,Wayne County,50.5
Vermont,Grand Isle County,49.9
Virginia,Albemarle County,48.1
Virginia,Amherst County,47.8
Virginia,Botetourt County,49.5
West Virginia,Mercer County,47.8
Virginia,Dinwiddie County,49.1
Virginia,Fluvanna County,45.9
Virginia,Greene County,49.2
Virginia,King and Queen County,49.7
Virginia,Louisa County,49.3
Alabama,Conecuh County,48.5
Alabama,Covington County,48.4
Alabama,DeKalb County,49.4
Alabama,Escambia County,51.6
Alabama,Greene County,47.2
Alabama,Houston County,48
Wisconsin,Washburn County,49.8
Alabama,Lauderdale County,47.9
Alabama,Mobile County,48
Alabama,Sumter County,45.5
Alabama,Tuscaloosa County,48.5
Alabama,Winston County,49.1
Alaska,Anchorage Municipality,50.8
Alaska,Denali Borough,54.9
Alaska,Skagway Municipality,51.7
Virginia,Carroll County,49.3
California,Alameda County,49
Puerto Rico,Barceloneta Municipio,48.1
Puerto Rico,Bayamí_n Municipi,47.5
Puerto Rico,Caní_vanas Municipi,48.6
Puerto Rico,Ciales Municipio,49.3
Puerto Rico,Dorado Municipio,48
Puerto Rico,Gurabo Municipio,47.9
Puerto Rico,Juncos Municipio,47.9
Puerto Rico,Las Piedras Municipio,48.4
Puerto Rico,Moca Municipio,49.1
Puerto Rico,Peí±uelas Municipi,48.9
Puerto Rico,Salinas Municipio,48.6
Alabama,Lamar County,48.7
Puerto Rico,Villalba Municipio,49.3
Alabama,Barbour County,53.1
Alabama,Butler County,47
Alabama,Cherokee County,49.6
California,Marin County,49.2
California,Monterey County,51.4
Alaska,Haines Borough,50.8
Arkansas,Washington County,50
California,Sacramento County,49
California,San Bernardino County,49.7
Puerto Rico,Trujillo Alto Municipio,47.5
Florida,Charlotte County,48.6
Florida,Dixie County,53.8
Florida,Escambia County,49.4
Florida,Franklin County,57.6
California,Placer County,48.8
California,San Mateo County,49.2
California,Sonoma County,49.2
California,Ventura County,49.7
Colorado,Cheyenne County,49.6
Colorado,Costilla County,51.7
California,San Luis Obispo County,51.2
California,Lassen County,64.2
California,Los Angeles County,49.3
Florida,Hillsborough County,48.7
Colorado,Logan County,56.9
Colorado,Montezuma County,49.4
Colorado,Park County,52.5
Colorado,Prowers County,49.4
Colorado,Routt County,53.2
Colorado,Sedgwick County,49.3
Colorado,Yuma County,49.6
Colorado,Arapahoe County,49
Colorado,Eagle County,53.3
Colorado,Garfield County,51.6
Colorado,Jackson County,52.8
California,Fresno County,50
California,Humboldt County,50.2
Connecticut,New Haven County,48.1
Delaware,Kent County,48.1
Delaware,New Castle County,48.4
Florida,Bay County,49.5
Texas,Angelina County,49
Texas,Aransas County,49.6
Texas,Atascosa County,49.3
Texas,Austin County,49.5
Texas,Bailey County,50.5
Texas,Baylor County,48.2
Texas,Bexar County,49
Texas,Bosque County,49.7
Texas,Brewster County,50.2
Texas,Briscoe County,49.8
Texas,Caldwell County,50.4
West Virginia,Ohio County,47.6
West Virginia,Pendleton County,50.6
West Virginia,Pocahontas County,51.3
West Virginia,Randolph County,51.5
West Virginia,Roane County,49.5
West Virginia,Tyler County,49
West Virginia,Wetzel County,49.1
West Virginia,Wood County,48.2
Wisconsin,Ashland County,50
Wisconsin,Barron County,49.7
Wisconsin,Buffalo County,50.5
Wisconsin,Calumet County,50.1
Wisconsin,Chippewa County,51.9
Wisconsin,Columbia County,50.9
Wisconsin,Crawford County,51.5
Puerto Rico,Hatillo Municipio,48.4
Puerto Rico,Hormigueros Municipio,46.5
Puerto Rico,Isabela Municipio,48.7
Puerto Rico,Jayuya Municipio,50
Puerto Rico,Lajas Municipio,48.9
Puerto Rico,Loí_za Municipi,47
Puerto Rico,Luquillo Municipio,47.6
Puerto Rico,Maunabo Municipio,49.4
Puerto Rico,Morovis Municipio,49.8
Puerto Rico,Naguabo Municipio,48
Puerto Rico,Orocovis Municipio,50.4
Puerto Rico,Rincí_n Municipi,48.5
Puerto Rico,Rí_o Grande Municipi,48.8
Puerto Rico,San Germíçn Municipi,48.5
Puerto Rico,San Sebastiíçn Municipi,48.8
Illinois,St. Clair County,48.1
Illinois,Warren County,48.6
Illinois,Williamson County,49.5
Indiana,Bartholomew County,49.4
Indiana,Brown County,49.6
Indiana,Clinton County,49.4
Indiana,Delaware County,48.1
Indiana,Floyd County,48.5
Indiana,Fountain County,49.5
Indiana,Fulton County,49.7
Indiana,Grant County,48.1
Indiana,Hendricks County,49.8
Indiana,Jasper County,49.8
Indiana,LaPorte County,51.7
Indiana,Monroe County,49.9
Indiana,Parke County,46.8
Indiana,Putnam County,52.8
Texas,Cameron County,48.1
Texas,Carson County,49.2
Texas,Cass County,48.5
Texas,Chambers County,50.3
Texas,Clay County,49.1
Texas,Collingsworth County,49
Texas,Comal County,49.1
Texas,Crockett County,49.2
Texas,Culberson County,48.7
Texas,Dallas County,49.4
Wisconsin,Douglas County,50
Wisconsin,Forest County,50.8
Wisconsin,Green County,49.5
Wisconsin,Jefferson County,49.8
Wisconsin,Juneau County,52.6
Wisconsin,Kewaunee County,50.8
Wisconsin,Marathon County,50.2
Virginia,Page County,49.2
Puerto Rico,Toa Baja Municipio,47.4
Puerto Rico,Utuado Municipio,49
Puerto Rico,Vega Alta Municipio,47.8
Puerto Rico,Yabucoa Municipio,48.8
Puerto Rico,Yauco Municipio,48.4
Alabama,Baldwin County,48.9
Alabama,Clay County,49
Alabama,Crenshaw County,48.3
Alabama,Fayette County,49.3
Alabama,Jefferson County,47.4
Alabama,Marengo County,47.1
Alabama,Morgan County,49.3
Alabama,St. Clair County,50.1
Indiana,Scott County,49.4
Indiana,Sullivan County,54.3
Indiana,Vigo County,50.6
Iowa,Appanoose County,48.7
Iowa,Buena Vista County,50.1
Iowa,Cass County,48.9
Georgia,Glynn County,47.5
Georgia,Greene County,48.8
Georgia,Haralson County,48.9
Georgia,Houston County,48.7
Georgia,Jefferson County,48.3
Georgia,Long County,49.5
Georgia,Macon County,54.1
Georgia,Monroe County,50.2
Georgia,Oconee County,48.8
Georgia,Pickens County,49.1
Texas,Deaf Smith County,49.8
Texas,Denton County,49.2
Texas,Dickens County,56.6
Texas,Donley County,49.6
Texas,Eastland County,48.8
Texas,Ellis County,49.4
Texas,Falls County,47.5
Texas,Fisher County,49.3
Texas,Foard County,47.7
Texas,Freestone County,52.7
Virginia,Northampton County,47.9
Virginia,Nottoway County,52.8
Virginia,Orange County,49
Virginia,Pittsylvania County,49.2
Virginia,Prince George County,54.6
Wisconsin,Marinette County,49.7
Wisconsin,Oneida County,50
Wisconsin,Ozaukee County,49
Wisconsin,Pepin County,50.6
Wisconsin,Pierce County,49.8
Wisconsin,Portage County,50
Wisconsin,Racine County,49.5
Wisconsin,Richland County,50.2
Wisconsin,Sauk County,49.8
Wisconsin,Sawyer County,50.7
Alabama,Washington County,49.2
Alaska,Fairbanks North Star Borough,52.8
Alaska,Southeast Fairbanks Census Area,55.7
Arkansas,Yell County,49.9
California,Colusa County,51.4
California,Inyo County,50.4
California,Merced County,50.3
California,Plumas County,50
California,San Joaquin County,49.8
California,Sierra County,50.8
Georgia,Putnam County,48.7
Georgia,Schley County,48
Georgia,Stewart County,60.8
Georgia,Telfair County,57.3
Georgia,Treutlen County,50.1
Georgia,Walton County,48.7
Kansas,Clark County,48.5
Kansas,Coffey County,49.4
Kansas,Comanche County,48.2
Kansas,Douglas County,50.1
Kansas,Finney County,50.2
Kansas,Gray County,49.1
Kansas,Haskell County,50
Kansas,Kearny County,50.8
Kansas,Lane County,48.9
Kansas,Lyon County,48.9
Kansas,Mitchell County,50.5
Kansas,Neosho County,49.4
Kansas,Osage County,49.7
Kansas,Pratt County,49.3
Virginia,Richmond County,56.5
Virginia,Roanoke County,47.7
Virginia,Rockingham County,49.1
Virginia,Shenandoah County,48.9
Virginia,Surry County,49.4
Virginia,Sussex County,58.6
Virginia,Washington County,49.3
Virginia,Westmoreland County,48.8
Virginia,York County,48.9
Virginia,Chesapeake city,48.6
Virginia,Covington city,48.4
Virginia,Fairfax city,49.3
Wisconsin,Sheboygan County,50.2
Wisconsin,Taylor County,51
Wisconsin,Walworth County,50.1
Wisconsin,Waukesha County,49.1
Wisconsin,Waushara County,52.6
Wyoming,Albany County,52.1
Wyoming,Carbon County,53.8
Wyoming,Fremont County,49.9
Wyoming,Johnson County,50.9
Wyoming,Lincoln County,51.4
Wyoming,Sublette County,54.2
California,Tulare County,50.1
Colorado,Bent County,65.7
Colorado,Clear Creek County,52.1
Colorado,Custer County,51.6
Colorado,El Paso County,49.8
Colorado,Grand County,53.4
Colorado,Hinsdale County,52.6
Colorado,Jefferson County,49.6
Colorado,Kit Carson County,56.1
Colorado,Mineral County,50.8
Colorado,Otero County,49
Colorado,Rio Grande County,49.7
Colorado,Summit County,54.9
Connecticut,Litchfield County,49.1
Florida,Bradford County,56.1
Kansas,Rice County,50.2
Kansas,Saline County,49.8
Kansas,Sheridan County,50.9
Kansas,Sumner County,49.9
Kansas,Wyandotte County,49.3
Kentucky,Anderson County,48.9
Kentucky,Ballard County,49.7
Kentucky,Boyd County,49.7
Kentucky,Campbell County,49
Kentucky,Clark County,48.8
Kentucky,Crittenden County,49.9
Kentucky,Floyd County,48.9
Kentucky,Green County,49.3
Kentucky,Hardin County,49.9
Kentucky,Jessamine County,48.7
Kentucky,Larue County,49.6
Kentucky,Lincoln County,49.4
Virginia,Prince William County,49.7
Virginia,Galax city,47.1
Virginia,Lexington city,55.7
Virginia,Manassas city,50.1
Virginia,Manassas Park city,50.7
Virginia,Norfolk city,51.8
Virginia,Petersburg city,46.7
Virginia,Radford city,47.4
Virginia,Staunton city,45.3
Virginia,Virginia Beach city,49
Virginia,Winchester city,49.2
Washington,Benton County,49.9
Washington,Clark County,49.4
Wyoming,Sweetwater County,52.2
Wyoming,Teton County,52.6
Puerto Rico,Adjuntas Municipio,48.9
Puerto Rico,Aguas Buenas Municipio,49
Puerto Rico,Aí±asco Municipi,48.6
Puerto Rico,Arroyo Municipio,47.2
Utah,Sanpete County,52.3
Utah,Summit County,51.5
Utah,Uintah County,50.8
Utah,Washington County,49.4
Vermont,Bennington County,48.4
Vermont,Chittenden County,48.7
Vermont,Franklin County,49.6
Florida,Clay County,49
Florida,DeSoto County,56.6
Florida,Gadsden County,48.8
Florida,Hamilton County,58.9
Florida,Leon County,47.6
Florida,Manatee County,48.4
Florida,Martin County,49.5
Florida,Pasco County,48.6
Florida,Seminole County,48.4
Florida,Walton County,51.2
Georgia,Ben Hill County,47.9
Georgia,Bryan County,49.1
Kentucky,McCreary County,54.3
Kentucky,Marshall County,49.2
Kentucky,Menifee County,49.9
Kentucky,Nicholas County,49.7
Kentucky,Oldham County,52.6
Kentucky,Owsley County,49.5
Kentucky,Pulaski County,48.8
Kentucky,Scott County,49.3
Kentucky,Warren County,48.9
Kentucky,Wolfe County,49.1
Louisiana,Assumption Parish,48.9
Louisiana,Caldwell Parish,51.2
Louisiana,East Baton Rouge Parish,48
Louisiana,Evangeline Parish,50.4
Louisiana,La Salle Parish,51.5
Louisiana,Natchitoches Parish,47.7
Washington,Columbia County,49.6
Washington,Douglas County,50
Washington,Garfield County,49.3
Washington,Island County,49.5
Washington,Jefferson County,49.5
Washington,Kittitas County,50.8
Washington,Klickitat County,50.5
Vermont,Lamoille County,50
Vermont,Orange County,49.8
Vermont,Washington County,49.4
Vermont,Windham County,49.1
Virginia,Alleghany County,48.9
Virginia,Appomattox County,48.7
Virginia,Arlington County,49.8
Virginia,Augusta County,50.7
Virginia,Bland County,55.2
Virginia,Brunswick County,52.5
Virginia,Campbell County,48.7
Virginia,Charles City County,49.2
Georgia,Catoosa County,48.5
Georgia,Clinch County,48.8
Georgia,Dade County,49.3
Georgia,Dooly County,54
Georgia,Early County,47.2
Georgia,Forsyth County,49.7
Arizona,Apache County,49.9
Arizona,Gila County,49.7
Arizona,Pima County,49.1
Arkansas,Bradley County,48.5
Arkansas,Cleburne County,49.2
Arkansas,Cross County,48.2
Arkansas,Dallas County,49
Louisiana,Red River Parish,47.8
Louisiana,St. Tammany Parish,48.8
Iowa,Clay County,49
Iowa,Clayton County,50.1
Iowa,Dallas County,48.9
Iowa,Des Moines County,48.6
Iowa,Greene County,49.4
Iowa,Hancock County,49.9
Iowa,Humboldt County,49.4
Iowa,Jasper County,50.9
Iowa,Louisa County,50.9
Iowa,Mitchell County,49.3
Iowa,Palo Alto County,49.7
Iowa,Poweshiek County,48.9
Iowa,Shelby County,48.8
Iowa,Wapello County,48.9
Iowa,Webster County,51.2
Iowa,Wright County,49.7
Washington,Pacific County,50.1
Washington,Pend Oreille County,50.7
Washington,Skagit County,49.6
Washington,Stevens County,50
Washington,Thurston County,48.7
Washington,Walla Walla County,50.8
Virginia,Charlotte County,49.1
Virginia,Chesterfield County,48.2
Virginia,Craig County,49.4
Virginia,Dickenson County,50
Virginia,Fauquier County,49.3
Virginia,Franklin County,49.3
Virginia,Frederick County,49.7
Virginia,Gloucester County,49.5
Virginia,Greensville County,62.6
Virginia,Henry County,48.2
Virginia,James City County,48.3
Arkansas,Greene County,49
Arkansas,Izard County,51.5
Arkansas,Lincoln County,60.1
Arkansas,Monroe County,47.8
Arkansas,Pike County,49.6
Arkansas,Prairie County,49.5
Arkansas,Sharp County,49.4
Georgia,Webster County,48.7
Georgia,White County,48.9
Georgia,Wilcox County,58.7
Hawaii,Kalawao County,46.7
Idaho,Bannock County,49.9
Idaho,Canyon County,49.5
Idaho,Elmore County,51.7
Kansas,Brown County,48.7
Kansas,Cheyenne County,50.4
Michigan,Gratiot County,53.2
Michigan,Houghton County,54.1
Michigan,Ingham County,48.6
Michigan,Iosco County,49.3
Michigan,Lapeer County,50.4
Michigan,Mecosta County,50.2
Michigan,Montcalm County,51.7
Michigan,Ogemaw County,49.8
Michigan,Oscoda County,50.4
Michigan,Saginaw County,48.3
Michigan,Van Buren County,49.6
Minnesota,Becker County,50.2
Minnesota,Brown County,49.7
Minnesota,Clay County,49.4
Minnesota,Freeborn County,49.5
Arizona,Navajo County,50
Arizona,Santa Cruz County,47.6
Arizona,Yavapai County,49
Arkansas,Baxter County,48.2
Arkansas,Benton County,49.3
Arkansas,Chicot County,49.1
Arkansas,Cleveland County,49.3
Arkansas,Craighead County,48.8
Illinois,Christian County,50.7
Illinois,Clinton County,51.7
Nevada,Clark County,50.3
Nevada,Lander County,50.7
Nevada,Lyon County,50.4
Nevada,Nye County,50.5
Nevada,Washoe County,50.5
New Hampshire,Carroll County,49.5
North Dakota,McIntosh County,48.9
North Dakota,Morton County,49.9
North Dakota,Oliver County,52.3
North Dakota,Ramsey County,49.7
North Dakota,Sioux County,51.3
North Dakota,Ward County,50.7
North Dakota,Williams County,51.6
Ohio,Ashtabula County,49.9
Pennsylvania,Northumberland County,49.9
Pennsylvania,Schuylkill County,50.7
Pennsylvania,Union County,55
Pennsylvania,Westmoreland County,48.7
Rhode Island,Bristol County,48
Arizona,La Paz County,51.5
Illinois,Cook County,48.4
South Carolina,Anderson County,48.2
South Carolina,Beaufort County,49.4
New Hampshire,Coos County,50.8
South Carolina,Dorchester County,48.6
South Carolina,Florence County,47
South Carolina,Georgetown County,47.6
South Carolina,Lee County,51.8
South Carolina,Marion County,45.7
South Carolina,Oconee County,49.4
Ohio,Clermont County,49.3
South Carolina,York County,48.3
South Dakota,Bon Homme County,58.4
South Dakota,Buffalo County,49
South Dakota,Campbell County,50.8
South Dakota,Corson County,51
South Dakota,Deuel County,51.6
South Dakota,Grant County,50.8
South Dakota,Gregory County,50.3
South Dakota,Lawrence County,49.5
Rhode Island,Washington County,48.6
South Dakota,McPherson County,48.9
South Dakota,Minnehaha County,49.9
South Dakota,Perkins County,50.2
South Dakota,Roberts County,50.2
South Dakota,Tripp County,49.3
South Dakota,Yankton County,51.5
Tennessee,Campbell County,48.8
South Carolina,Charleston County,48.5
Tennessee,Cumberland County,48.8
Tennessee,Dickson County,49.1
Tennessee,Dyer County,48.2
Tennessee,Giles County,48.8
Tennessee,Hamilton County,48.1
Tennessee,Hardin County,48.7
Tennessee,Henry County,48.4
Tennessee,Jefferson County,49.1
Tennessee,Johnson County,53.9
South Carolina,Union County,47.6
Tennessee,McMinn County,48.6
Tennessee,Marion County,49.1
Tennessee,Meigs County,49.7
Tennessee,Monroe County,49.5
Tennessee,Perry County,50.2
Tennessee,Putnam County,49.5
Tennessee,Robertson County,49.2
Tennessee,Sequatchie County,49.6
Tennessee,Shelby County,47.7
Tennessee,Sullivan County,48.4
Tennessee,Wayne County,55.2
South Dakota,Lincoln County,49.5
Oklahoma,Kay County,49.3
Oklahoma,Le Flore County,50.2
Oklahoma,McCurtain County,49
Oklahoma,Murray County,49.8
Oklahoma,Nowata County,49.4
Oklahoma,Okmulgee County,49.5
Oklahoma,Osage County,50.3
Oklahoma,Rogers County,49.5
Oklahoma,Stephens County,48.8
Tennessee,Cocke County,48.5
Oklahoma,Woods County,53.5
Oregon,Baker County,50.5
Oregon,Clatsop County,49.7
Oregon,Curry County,49.4
Texas,San Patricio County,49.6
Tennessee,Lauderdale County,52.5
Texas,Taylor County,48.7
Texas,Terrell County,51.7
Texas,Tyler County,53.9
Texas,Val Verde County,50.2
Oregon,Jackson County,48.7
Oregon,Klamath County,49.8
Oregon,Lane County,49.2
Oregon,Linn County,49.4
Oregon,Morrow County,51.5
Oklahoma,Jackson County,49.8
Oregon,Tillamook County,50.5
Oregon,Wallowa County,49.1
Texas,Jefferson County,51.1
Texas,Kendall County,48.8
Texas,Kenedy County,51
Oklahoma,Texas County,52
Texas,Liberty County,49.2
Texas,Lipscomb County,50.3
Texas,Webb County,48.5
Texas,Wilbarger County,49.8
Texas,Winkler County,49.9
Texas,Yoakum County,49.5
Utah,Beaver County,51.4
Utah,Box Elder County,50.4
Utah,Emery County,50.9
Utah,Kane County,49.4
Oregon,Yamhill County,50.2
Pennsylvania,Allegheny County,47.9
Texas,Grayson County,48.7
Texas,Hardeman County,49.6
Texas,Harris County,49.8
Texas,Hood County,49.2
Texas,Houston County,53.8
Texas,Hudspeth County,50.3
Oregon,Multnomah County,49.5
Texas,Matagorda County,50
Texas,Montague County,49
Texas,Newton County,51.5
Texas,Parmer County,51.2
Texas,Pecos County,56.4
Texas,Reagan County,51.9
Texas,Red River County,48.7
Indiana,Hancock County,49.1
Texas,Lamar County,48.3
Indiana,Jefferson County,48.2
Indiana,Knox County,50.3
Indiana,Lake County,48.3
Indiana,Miami County,53.3
Indiana,Morgan County,49.6
Indiana,Orange County,49.7
Indiana,Perry County,53
Kentucky,Pike County,49
Kentucky,Russell County,48.9
Kentucky,Simpson County,48.9
Kentucky,Trimble County,50.9
Utah,Iron County,49.7
Texas,Martin County,50.2
Louisiana,Acadia Parish,48.8
Louisiana,Avoyelles Parish,50.1
Louisiana,Bossier Parish,49.2
Louisiana,Caddo Parish,47.5
Minnesota,Cook County,49.9
Minnesota,Goodhue County,49.6
Texas,Starr County,48.3
Indiana,Harrison County,50
Minnesota,Jackson County,50.6
Minnesota,Lake County,50.4
Minnesota,Marshall County,50.7
Michigan,Cheboygan County,49.8
Indiana,Rush County,49.3
Indiana,St. Joseph County,48.5
Indiana,Spencer County,50.3
Indiana,Tippecanoe County,51
Kentucky,Union County,51.1
Indiana,Wabash County,48.6
Indiana,Washington County,49.9
Indiana,Wayne County,48.6
Iowa,Allamakee County,51
Iowa,Buchanan County,49.6
Iowa,Carroll County,48.7
Louisiana,Concordia Parish,50.3
Louisiana,East Feliciana Parish,53.8
Minnesota,Houston County,49.6
Louisiana,Lafourche Parish,49.1
Minnesota,Nobles County,51.1
Minnesota,Pine County,53.6
Minnesota,Polk County,50.1
Minnesota,Rock County,49.4
Indiana,Vanderburgh County,48.2
Minnesota,Wabasha County,50.1
Minnesota,Washington County,49.5
Michigan,Grand Traverse County,49.4
Missouri,Mississippi County,53.6
Louisiana,Iberia Parish,48.8
Missouri,Nodaway County,50.7
Georgia,Hancock County,54.8
Georgia,Hart County,49.4
