State,County,White,Black,Hispanic,Asian,Native.American.Alaska.Native
Indiana,Pulaski County,97.2,0.7,2.4,0.2,0.3
Indiana,Ripley County,97.6,0.2,1.5,0.5,0.2
Indiana,Starke County,97.1,0.3,3.3,0.2,0.3
Indiana,Tipton County,97.6,0.2,2.2,0.4,0.1
Indiana,Warrick County,95,1.3,1.6,1.6,0.2
Indiana,Wells County,97.3,0.3,2,0.4,0.3
Indiana,Whitley County,97.6,0.3,1.5,0.3,0.3
Iowa,Benton County,98.1,0.4,1.1,0.3,0.2
Iowa,Bremer County,97.2,0.8,1,0.7,0.1
Iowa,Calhoun County,98.5,0.2,0.9,0.2,0.2
Iowa,Cherokee County,96.6,0.5,2.3,0.5,0.3
Iowa,Clarke County,94.3,0.4,10,0.4,0.3
Georgia,Glascock County,89.8,8.2,1.1,0,0.2
Georgia,Gordon County,85.2,3.6,14,1,0.4
Georgia,Grady County,62.8,28.7,10,0.4,0.7
Georgia,Hall County,74.1,7.4,26.1,1.8,0.5
Georgia,Jackson County,86.8,6.8,6.2,1.7,0.2
Georgia,Jones County,73.2,24.4,1.1,0.7,0.2
Georgia,Laurens County,60.6,35.8,2.4,1,0.2
Georgia,Lumpkin County,94.4,1.1,4.5,0.5,0.6
Georgia,Marion County,60.1,32.7,6.5,0.9,0.5
Georgia,Miller County,69.6,28.1,1.5,0.5,0.2
Georgia,Newton County,53.8,40.9,4.6,0.9,0.2
Georgia,Peach County,48.3,45.9,6.8,0.8,0.2
Georgia,Polk County,77.1,12.5,11.8,0.7,0.3
Georgia,Randolph County,36.6,61.8,1.5,0.3,0.1
Georgia,Seminole County,64.1,33.4,2.3,0.4,0.1
Georgia,Taliaferro County,37.3,59.6,2,0.6,0.1
Georgia,Tift County,61.4,29,10.1,1.3,0.2
Georgia,Troup County,61.5,33.4,3.2,1.6,0.3
Georgia,Upson County,68.8,28,2.2,0.5,0.3
Georgia,Washington County,45,52.7,1.9,0.5,0.1
Kansas,Clay County,97.3,0.4,1.9,0.3,0.4
Kansas,Cloud County,96.4,0.5,3,0.2,0.3
Kansas,Decatur County,97.4,0.6,1,0.2,0.4
Kansas,Elk County,95.1,0,2.7,0.4,1.5
Kansas,Graham County,91.8,3.8,2.3,0.3,0.7
Kansas,Hamilton County,79.3,0.3,30.7,0.3,1.2
Kansas,Jackson County,87.2,0.5,3.3,0.4,8
